kind,itemstring,mod,era,modern,file
node,mcl_anvils:anvil,mcl_anvils,1.0-1.7,no,mods/ITEMS/mcl_anvils/init.lua
node,mcl_anvils:anvil_damage_1,mcl_anvils,1.0-1.7,no,mods/ITEMS/mcl_anvils/init.lua
node,mcl_anvils:anvil_damage_2,mcl_anvils,1.0-1.7,no,mods/ITEMS/mcl_anvils/init.lua
node,mcl_beacons:beacon,mcl_beacons,1.0-1.7,no,mods/ITEMS/mcl_beacons/init.lua
node,mcl_beacons:beacon_beam,mcl_beacons,1.0-1.7,no,mods/ITEMS/mcl_beacons/init.lua
craftitem,mcl_bone_meal:bone_meal,mcl_bone_meal,1.0-1.7,no,mods/ITEMS/mcl_bone_meal/init.lua
craftitem,mcl_books:book,mcl_books,1.0-1.7,no,mods/ITEMS/mcl_books/init.lua
node,mcl_books:bookshelf,mcl_books,1.0-1.7,no,mods/ITEMS/mcl_books/init.lua
craftitem,mcl_books:writable_book,mcl_books,1.0-1.7,no,mods/ITEMS/mcl_books/init.lua
craftitem,mcl_books:written_book,mcl_books,1.0-1.7,no,mods/ITEMS/mcl_books/init.lua
node,mcl_brewing:stand_000,mcl_brewing,1.0-1.7,no,mods/ITEMS/mcl_brewing/init.lua
node,mcl_brewing:stand_001,mcl_brewing,1.0-1.7,no,mods/ITEMS/mcl_brewing/init.lua
node,mcl_brewing:stand_010,mcl_brewing,1.0-1.7,no,mods/ITEMS/mcl_brewing/init.lua
node,mcl_brewing:stand_011,mcl_brewing,1.0-1.7,no,mods/ITEMS/mcl_brewing/init.lua
node,mcl_brewing:stand_100,mcl_brewing,1.0-1.7,no,mods/ITEMS/mcl_brewing/init.lua
node,mcl_brewing:stand_101,mcl_brewing,1.0-1.7,no,mods/ITEMS/mcl_brewing/init.lua
node,mcl_brewing:stand_110,mcl_brewing,1.0-1.7,no,mods/ITEMS/mcl_brewing/init.lua
node,mcl_brewing:stand_111,mcl_brewing,1.0-1.7,no,mods/ITEMS/mcl_brewing/init.lua
node,mcl_cake:cake,mcl_cake,1.0-1.7,no,mods/ITEMS/mcl_cake/init.lua
node,mcl_cauldrons:cauldron,mcl_cauldrons,1.0-1.7,no,mods/ITEMS/mcl_cauldrons/init.lua
node,mcl_commandblock:commandblock_off,mcl_commandblock,1.0-1.7,no,mods/ITEMS/REDSTONE/mcl_commandblock/init.lua
node,mcl_commandblock:commandblock_on,mcl_commandblock,1.0-1.7,no,mods/ITEMS/REDSTONE/mcl_commandblock/init.lua
node,mcl_daylight_detector:daylight_detector,mcl_daylight_detector,1.0-1.7,no,mods/ITEMS/REDSTONE/mcl_daylight_detector/init.lua
node,mcl_daylight_detector:daylight_detector_inverted,mcl_daylight_detector,1.0-1.7,no,mods/ITEMS/REDSTONE/mcl_daylight_detector/init.lua
entity,mcl_enchanting:book,mcl_enchanting,1.0-1.7,no,mods/ITEMS/mcl_enchanting/init.lua
craftitem,mcl_enchanting:book_enchanted,mcl_enchanting,1.0-1.7,no,mods/ITEMS/mcl_enchanting/init.lua
node,mcl_enchanting:table,mcl_enchanting,1.0-1.7,no,mods/ITEMS/mcl_enchanting/init.lua
node,mcl_end:chorus_flower,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/chorus_plant.lua
node,mcl_end:chorus_flower_dead,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/chorus_plant.lua
craftitem,mcl_end:chorus_fruit,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/chorus_plant.lua
craftitem,mcl_end:chorus_fruit_popped,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/chorus_plant.lua
node,mcl_end:chorus_plant,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/chorus_plant.lua
entity,mcl_end:crystal,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/end_crystal.lua
craftitem,mcl_end:crystal,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/end_crystal.lua
entity,mcl_end:crystal_beam,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/end_crystal.lua
node,mcl_end:dragon_egg,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/building.lua
node,mcl_end:end_bricks,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/building.lua
node,mcl_end:end_rod,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/building.lua
node,mcl_end:end_stone,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/building.lua
entity,mcl_end:ender_eye,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/eye_of_ender.lua
craftitem,mcl_end:ender_eye,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/eye_of_ender.lua
node,mcl_end:purpur_block,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/building.lua
node,mcl_end:purpur_pillar,mcl_end,1.0-1.7,no,mods/ITEMS/mcl_end/building.lua
craftitem,mcl_fireworks:rocket_,mcl_fireworks,1.0-1.7,no,mods/ITEMS/mcl_fireworks/register.lua
node,:mcl_flowerpots:flower_pot_,mcl_flowerpots,1.0-1.7,no,mods/ITEMS/mcl_flowerpots/init.lua
node,mcl_flowerpots:flower_pot,mcl_flowerpots,1.0-1.7,no,mods/ITEMS/mcl_flowerpots/init.lua
node,mcl_hoppers:hopper,mcl_hoppers,1.0-1.7,no,mods/ITEMS/mcl_hoppers/init.lua
node,mcl_hoppers:hopper_disabled,mcl_hoppers,1.0-1.7,no,mods/ITEMS/mcl_hoppers/init.lua
node,mcl_hoppers:hopper_side,mcl_hoppers,1.0-1.7,no,mods/ITEMS/mcl_hoppers/init.lua
node,mcl_hoppers:hopper_side_disabled,mcl_hoppers,1.0-1.7,no,mods/ITEMS/mcl_hoppers/init.lua
entity,mcl_itemframes:item,mcl_itemframes,1.0-1.7,no,mods/ITEMS/mcl_itemframes/init.lua
node,mcl_nether:chiseled_nether_brick,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:cracked_nether_brick,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:glowstone,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
craftitem,mcl_nether:glowstone_dust,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:magma,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:nether_brick,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:nether_lava_flowing,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/lava.lua
node,mcl_nether:nether_lava_source,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/lava.lua
node,mcl_nether:nether_wart,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/nether_wart.lua
node,mcl_nether:nether_wart_0,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/nether_wart.lua
node,mcl_nether:nether_wart_1,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/nether_wart.lua
node,mcl_nether:nether_wart_2,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/nether_wart.lua
node,mcl_nether:nether_wart_block,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
craftitem,mcl_nether:nether_wart_item,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/nether_wart.lua
craftitem,mcl_nether:netherbrick,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:netherrack,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
craftitem,mcl_nether:quartz,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:quartz_block,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:quartz_chiseled,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:quartz_ore,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:quartz_pillar,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:quartz_smooth,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:red_nether_brick,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
node,mcl_nether:soul_sand,mcl_nether,1.0-1.7,no,mods/ITEMS/mcl_nether/init.lua
structure,nether_bridge,mcl_nether_fortresses,1.0-1.7,no,mods/MAPGEN/mcl_nether_fortresses/init.lua
structure,nether_bulwark,mcl_nether_fortresses,1.0-1.7,no,mods/MAPGEN/mcl_nether_fortresses/init.lua
structure,nether_outpost,mcl_nether_fortresses,1.0-1.7,no,mods/MAPGEN/mcl_nether_fortresses/init.lua
