key,era,note
# Era values:
#   beta, 1.0-1.7, 1.8-1.12, 1.13, 1.14-1.15, 1.16, 1.17-1.18, 1.19, 1.20,
#   1.21+, extra (not in vanilla Minecraft), engine (engine/utility, not content)
# Anything 1.13 or newer counts as "modern" for the mcl_slice cutoff (pre-1.13).
#
# ---- Mods: ITEMS ----
mod:mcl_core,beta
mod:mcl_trees,beta
mod:mcl_wool,beta
mod:mcl_tools,beta
mod:mcl_armor,beta
item:mcl_armor:helmet_copper,1.21+
item:mcl_armor:chestplate_copper,1.21+
item:mcl_armor:leggings_copper,1.21+
item:mcl_armor:boots_copper,1.21+
mod:mcl_farming,beta
mod:mcl_flowers,beta
mod:mcl_doors,beta
mod:mcl_fences,beta
mod:mcl_stairs,beta
mod:mcl_chests,beta
mod:mcl_crafting_table,beta
mod:mcl_furnaces,beta
mod:mcl_torches,beta
mod:mcl_bows,beta
mod:mcl_beds,beta
item:mcl_beds:respawn_anchor,1.16
item:mcl_beds:respawn_anchor_charged_1,1.16
item:mcl_beds:respawn_anchor_charged_2,1.16
item:mcl_beds:respawn_anchor_charged_3,1.16
item:mcl_beds:respawn_anchor_charged_4,1.16
mod:mcl_compass,beta
mod:mcl_clock,beta
mod:mcl_buckets,beta
item:mcl_buckets:bucket_river_water,1.13
item:mcl_buckets:bucket_cod,1.13
item:mcl_buckets:bucket_salmon,1.13
item:mcl_buckets:bucket_tropical_fish,1.13
item:mcl_buckets:bucket_pufferfish,1.13
item:mcl_buckets:bucket_axolotl,1.17-1.18
mod:mcl_cocoas,beta
mod:mcl_dyes,beta
mod:mcl_fire,beta
mod:mcl_fishing,beta
mod:mcl_mobitems,beta
mod:mcl_mobspawners,beta
mod:mcl_mushrooms,beta
mod:mcl_panes,beta
mod:mcl_portals,beta
mod:mcl_signs,beta
mod:mcl_throwing,beta
mod:mcl_tnt,beta
mod:mcl_jukebox,beta
mod:mclx_core,beta
mod:mcl_boats,beta
item:mcl_boats:boat_bamboo,1.19
item:mcl_boats:boat_bamboo_chest,1.19
item:mcl_boats:boat_mangrove,1.19
item:mcl_boats:boat_mangrove_chest,1.19
item:mcl_compass:compass_lodestone,1.16
item:mcl_compass:compass_recovery,1.19
item:mcl_heads:piglin,1.16
item:mcl_heads:piglin_wall,1.16
item:mcl_heads:piglin_ceiling,1.16
mod:mcl_minecarts,beta
mod:mcl_paintings,beta
mod:mcl_redstone,beta
mod:mcl_redstone_torch,beta
mod:mcl_lever,beta
mod:mcl_buttons,beta
mod:mcl_pressureplates,beta
mod:mcl_dispensers,beta
mod:mcl_noteblock,beta
mod:mcl_repeaters,beta
mod:mcl_pistons,beta
mod:mcl_redstone_lamp,beta
mod:mcl_anvils,1.0-1.7
mod:mcl_beacons,1.0-1.7
mod:mcl_bone_meal,1.0-1.7
mod:mcl_books,1.0-1.7
mod:mcl_brewing,1.0-1.7
mod:mcl_cake,1.0-1.7
mod:mcl_cauldrons,1.0-1.7
mod:mcl_enchanting,1.0-1.7
mod:mcl_end,1.0-1.7
mod:mcl_fireworks,1.0-1.7
mod:mcl_flowerpots,1.0-1.7
mod:mcl_heads,1.0-1.7
mod:mcl_hoppers,1.0-1.7
mod:mcl_itemframes,1.0-1.7
mod:mcl_nether,1.0-1.7
item:mcl_nether:ancient_debris,1.16
item:mcl_nether:netherite_scrap,1.16
item:mcl_nether:netherite_ingot,1.16
item:mcl_nether:netheriteblock,1.16
item:mcl_nether:netherite_upgrade_template,1.16
item:mcl_tools:pick_netherite,1.16
item:mcl_tools:shovel_netherite,1.16
item:mcl_tools:sword_netherite,1.16
item:mcl_tools:axe_netherite,1.16
item:mcl_farming:hoe_netherite,1.16
item:mcl_armor:helmet_netherite,1.16
item:mcl_armor:chestplate_netherite,1.16
item:mcl_armor:leggings_netherite,1.16
item:mcl_armor:boots_netherite,1.16
item:mcl_tools:mace,1.21+
item:mcl_tools:heavy_core,1.21+
item:mcl_armor:sentry,1.20
item:mcl_armor:dune,1.20
item:mcl_armor:coast,1.20
item:mcl_armor:wild,1.20
item:mcl_armor:tide,1.20
item:mcl_armor:ward,1.20
item:mcl_armor:vex,1.20
item:mcl_armor:rib,1.20
item:mcl_armor:snout,1.20
item:mcl_armor:eye,1.20
item:mcl_armor:spire,1.20
item:mcl_armor:silence,1.20
item:mcl_armor:wayfinder,1.20
mod:mcl_potions,1.0-1.7
mod:mcl_walls,1.0-1.7
mod:mcl_comparators,1.0-1.7
mod:mcl_daylight_detector,1.0-1.7
mod:mcl_commandblock,1.0-1.7
mod:mcl_wither_spawning,1.0-1.7
mod:mcl_zombie_sieges,1.0-1.7
mod:mcl_armor_stand,1.8-1.12
mod:mcl_banners,1.8-1.12
item:mcl_banners:pattern_thing,1.14-1.15
item:mcl_banners:pattern_skull,1.14-1.15
item:mcl_banners:pattern_creeper,1.14-1.15
item:mcl_banners:pattern_flower,1.14-1.15
item:mcl_banners:pattern_bricks,1.14-1.15
item:mcl_banners:pattern_curly_border,1.14-1.15
item:mcl_banners:pattern_globe,1.14-1.15
item:mcl_banners:pattern_piglin,1.16
item:mcl_banners:pattern_guster,1.21+
item:mcl_banners:pattern_flow,1.21+
mod:mcl_maps,1.8-1.12
mod:mcl_shields,1.8-1.12
mod:mcl_sponges,1.8-1.12
mod:mcl_totems,1.8-1.12
mod:mcl_colorblocks,1.8-1.12
mod:mcl_observers,1.8-1.12
mod:mcl_conduits,1.13
mod:mcl_ocean,1.13
item:mcl_ocean:prismarine,1.8-1.12
item:mcl_ocean:prismarine_brick,1.8-1.12
item:mcl_ocean:prismarine_dark,1.8-1.12
item:mcl_ocean:prismarine_shard,1.8-1.12
item:mcl_ocean:prismarine_crystals,1.8-1.12
item:mcl_ocean:sea_lantern,1.8-1.12
mod:mcl_tridents,1.13
mod:mcl_bamboo,1.14-1.15
mod:mcl_barrels,1.14-1.15
mod:mcl_beehives,1.14-1.15
mod:mcl_bells,1.14-1.15
mod:mcl_blast_furnace,1.14-1.15
mod:mcl_campfires,1.14-1.15
mod:mcl_cartography_table,1.14-1.15
mod:mcl_composters,1.14-1.15
mod:mcl_fletching_table,1.14-1.15
mod:mcl_grindstone,1.14-1.15
mod:mcl_lanterns,1.14-1.15
mod:mcl_lectern,1.14-1.15
mod:mcl_loom,1.14-1.15
mod:mcl_smithing_table,1.14-1.15
mod:mcl_smoker,1.14-1.15
mod:mcl_stonecutter,1.14-1.15
mod:mcl_sus_stew,1.14-1.15
mod:mcl_honey,1.14-1.15
mod:mcl_blackstone,1.16
mod:mcl_crimson,1.16
mod:mcl_target,1.16
mod:mcl_amethyst,1.17-1.18
mod:mcl_candles,1.17-1.18
mod:mcl_copper,1.17-1.18
mod:mcl_deepslate,1.17-1.18
mod:mcl_dripstone,1.17-1.18
mod:mcl_lightning_rods,1.17-1.18
mod:mcl_lush_caves,1.17-1.18
mod:mcl_powder_snow,1.17-1.18
mod:mcl_raw_ores,1.17-1.18
mod:mcl_spyglass,1.17-1.18
mod:mcl_mangrove,1.19
mod:mcl_mud,1.19
mod:mcl_sculk,1.19
mod:mcl_cherry_blossom,1.20
mod:mcl_pottery_sherds,1.20
mod:mcl_sus_nodes,1.20
mod:mcl_pale_oak,1.21+
mod:mcl_trial_spawners,1.21+
mod:mcl_vaults,1.21+
mod:mclx_stairs,extra
mod:mclx_fences,extra
mod:screwdriver,extra
# ---- Mods: ENTITIES (mob defs handled per-mob below) ----
mod:mcl_raids,1.14-1.15
# ---- Mods: MAPGEN ----
mod:mcl_dungeons,beta
mod:mcl_terrain_features,beta
mod:mcl_strongholds,1.0-1.7
mod:mcl_nether_fortresses,1.0-1.7
mod:mcl_end_island,1.0-1.7
mod:mcl_biomes,engine
# 1.13+ biomes (base names; mcl_slice also strips "<name>_*" variants)
biome:BambooJungle,1.14-1.15
biome:MangroveSwamp,1.19
biome:DeepDark,1.19
biome:LushCaves,1.17-1.18
biome:DripstoneCave,1.17-1.18
biome:Grove,1.17-1.18
biome:CherryGrove,1.20
biome:PaleGarden,1.21+
mod:mcl_biome_dispatch,engine
mod:mcl_levelgen,engine
mod:mcl_mapgen_core,engine
mod:mcl_mapgen_models,engine
mod:mcl_structures,engine
mod:mcl_villages,1.14-1.15
mod:tsm_railcorridors,extra
# ---- Engine / utility mods (registered some items/entities) ----
mod:doc_identifier,engine
mod:mcl_attachments,engine
mod:mcl_burning,engine
mod:mcl_charges,engine
mod:mcl_experience,engine
mod:mcl_falling_nodes,engine
mod:mcl_item_entity,engine
mod:mcl_itemframes_compat,engine
mod:mcl_meshhand,engine
mod:mcl_mobs,engine
mod:mcl_monster_eggs,1.8-1.12
mod:mcl_void_damage,engine
mod:mcl_wieldview,engine
mod:mobs_mc,engine
mod:playerphysics,engine
# ---- Mobs (1.13+ are "modern" at the pre-1.13 cutoff) ----
mob:mobs_mc:bat,beta
mob:mobs_mc:blaze,1.0-1.7
mob:mobs_mc:chicken,beta
mob:mobs_mc:cow,beta
mob:mobs_mc:creeper,beta
mob:mobs_mc:creeper_charged,beta
mob:mobs_mc:enderman,beta
mob:mobs_mc:ghast,1.0-1.7
mob:mobs_mc:iron_golem,beta
mob:mobs_mc:magma_cube_big,1.0-1.7
mob:mobs_mc:magma_cube_small,1.0-1.7
mob:mobs_mc:magma_cube_tiny,1.0-1.7
mob:mobs_mc:mooshroom,beta
mob:mobs_mc:ocelot,1.0-1.7
mob:mobs_mc:pig,beta
mob:mobs_mc:pigman,beta
mob:mobs_mc:sheep,beta
mob:mobs_mc:silverfish,beta
mob:mobs_mc:skeleton,beta
mob:mobs_mc:slime_big,beta
mob:mobs_mc:slime_small,beta
mob:mobs_mc:slime_tiny,beta
mob:mobs_mc:snowman,beta
mob:mobs_mc:spider,beta
mob:mobs_mc:squid,beta
mob:mobs_mc:villager,beta
mob:mobs_mc:villager_zombie,beta
mob:mobs_mc:witch,1.0-1.7
mob:mobs_mc:wither,1.0-1.7
mob:mobs_mc:witherskeleton,1.0-1.7
mob:mobs_mc:wolf,beta
mob:mobs_mc:dog,beta
mob:mobs_mc:zombie,beta
mob:mobs_mc:horse,1.0-1.7
