mod_texture,vanilla_target
# mcl_core: 1.13+ names -> 1.12/beta names
mcl_core_grass_block_top.png,grass_top.png
mcl_core_grass_block_side.png,grass_side.png
mcl_core_grass_block_side_overlay.png,grass_side_overlay.png
mcl_core_grass_side_snowed.png,grass_side_snowed.png
mcl_core_grass_path_side.png,grass_side.png
mcl_core_grass_path_top.png,grass_top.png
mcl_core_sapling_big_oak.png,sapling_roofed_oak.png
mcl_core_ice_blue.png,ice_packed.png
mcl_core_lapis.png,lapis_ore.png
mcl_core_papyrus.png,reeds.png
mcl_core_snow_block.png,snow.png
mcl_core_glass_black_detail.png,glass_black.png
mcl_core_glass_blue_detail.png,glass_blue.png
mcl_core_glass_brown_detail.png,glass_brown.png
mcl_core_glass_cyan_detail.png,glass_cyan.png
mcl_core_glass_gray_detail.png,glass_gray.png
mcl_core_glass_green_detail.png,glass_green.png
mcl_core_glass_light_blue_detail.png,glass_light_blue.png
mcl_core_glass_lime_detail.png,glass_lime.png
mcl_core_glass_magenta_detail.png,glass_magenta.png
mcl_core_glass_orange_detail.png,glass_orange.png
mcl_core_glass_pink_detail.png,glass_pink.png
mcl_core_glass_purple_detail.png,glass_purple.png
mcl_core_glass_red_detail.png,glass_red.png
mcl_core_glass_silver_detail.png,glass_silver.png
mcl_core_glass_white_detail.png,glass_white.png
mcl_core_glass_yellow_detail.png,glass_yellow.png
# mcl_nether
mcl_nether_netherbrick.png,nether_brick.png
mcl_nether_quartz_chiseled_side.png,quartz_block_chiseled.png
mcl_nether_quartz_chiseled_top.png,quartz_block_chiseled_top.png
mcl_nether_quartz_pillar_side.png,quartz_block_lines.png
mcl_nether_quartz_pillar_top.png,quartz_block_lines_top.png
# default_*: Minetest legacy names -> MC names
default_acacia_tree.png,log_acacia.png
default_acacia_tree_top.png,log_acacia_top.png
default_acacia_wood.png,log_acacia.png
default_clay_brick.png,items/brick.png
default_clay_lump.png,clay_ball.png
default_coal_lump.png,coal.png
default_cobble.png,cobblestone.png
default_diamond.png,diamond.png
default_diamond_block.png,diamond_block.png
default_dry_shrub.png,deadbush.png
default_furnace_bottom.png,furnace_top.png
default_furnace_front.png,furnace_front_off.png
default_furnace_front_active.png,furnace_front_on.png
default_glass_detail.png,glass.png
default_jungleleaves.png,leaves_jungle.png
default_junglesapling.png,sapling_jungle.png
default_jungletree.png,log_jungle.png
default_jungletree_top.png,log_jungle_top.png
default_junglewood.png,log_jungle.png
default_lava_flowing_animated.png,lava_flow.png
default_lava_source_animated.png,lava_still.png
default_leaves.png,leaves_oak.png
default_mossycobble.png,cobblestone_mossy.png
default_rail.png,rail_normal.png
default_rail_crossing.png,rail_normal.png
default_rail_curved.png,rail_normal_turned.png
default_rail_t_junction.png,rail_normal.png
default_river_water_flowing_animated.png,water_flow.png
default_river_water_source_animated.png,water_still.png
default_sapling.png,sapling_oak.png
default_snow.png,snow.png
default_steel_block.png,iron_block.png
default_steel_ingot.png,iron_ingot.png
default_stone_brick.png,stonebrick.png
default_tnt_bottom.png,tnt_bottom.png
default_tnt_side.png,tnt_side.png
default_tnt_top.png,tnt_top.png
default_torch_on_floor.png,torch_on.png
default_torch_on_floor_animated.png,torch_on.png
default_tree.png,log_oak.png
default_tree_top.png,log_oak_top.png
default_water_flowing_animated.png,water_flow.png
default_water_source_animated.png,water_still.png
# default_* tools
default_tool_diamondaxe.png,diamond_axe.png
default_tool_diamondpick.png,diamond_pickaxe.png
default_tool_diamondshovel.png,diamond_shovel.png
default_tool_diamondsword.png,diamond_sword.png
default_tool_goldaxe.png,gold_axe.png
default_tool_goldpick.png,gold_pickaxe.png
default_tool_goldshovel.png,gold_shovel.png
default_tool_goldsword.png,gold_sword.png
default_tool_shears.png,shears.png
default_tool_steelaxe.png,iron_axe.png
default_tool_steelpick.png,iron_pickaxe.png
default_tool_steelshovel.png,iron_shovel.png
default_tool_steelsword.png,iron_sword.png
default_tool_stoneaxe.png,stone_axe.png
default_tool_stonepick.png,stone_pickaxe.png
default_tool_stoneshovel.png,stone_shovel.png
default_tool_stonesword.png,stone_sword.png
default_tool_woodaxe.png,wood_axe.png
default_tool_woodpick.png,wood_pickaxe.png
default_tool_woodshovel.png,wood_shovel.png
default_tool_woodsword.png,wood_sword.png
# farming
farming_carrot_1.png,carrots_stage_0.png
farming_carrot_2.png,carrots_stage_1.png
farming_carrot_3.png,carrots_stage_2.png
farming_carrot_4.png,carrots_stage_3.png
farming_carrot_gold.png,carrot_golden.png
farming_pumpkin_face.png,pumpkin_face_off.png
farming_pumpkin_face_light.png,pumpkin_face_on.png
farming_tool_diamondhoe.png,diamond_hoe.png
farming_tool_goldhoe.png,gold_hoe.png
farming_tool_steelhoe.png,iron_hoe.png
farming_tool_stonehoe.png,stone_hoe.png
